# 3-Component Decay Chain Output
# Input parameters:
#   Half-life A (h): 1.97
#   Half-life B (h): 9.91
#   Na0: 100.0  Nb0: 0.0  Nc0: 0.0
#   tfinal (h): 50.0
#
# t(h)    NA        NB        NC        Total
1.0700   68.627219   30.156787   1.215995   100.000000
1.0800   68.386177   30.376658   1.237164   100.000000
1.0900   68.145982   30.595530   1.258488   100.000000
1.1000   67.906631   30.813405   1.279964   100.000000
1.1100   67.668121   31.030288   1.301592   100.000000
1.1200   67.430448   31.246181   1.323371   100.000000
1.1300   67.193610   31.461089   1.345302   100.000000
1.1400   66.957603   31.675015   1.367382   100.000000
1.1500   66.722426   31.887963   1.389611   100.000000
1.1600   66.488075   32.099936   1.411989   100.000000
1.1700   66.254547   32.310938   1.434515   100.000000
1.1800   66.021839   32.520973   1.457188   100.000000
1.1900   65.789948   32.730044   1.480008   100.000000
1.2000   65.558872   32.938154   1.502973   100.000000
1.2100   65.328608   33.145308   1.526084   100.000000
1.2200   65.099152   33.351508   1.549340   100.000000
1.2300   64.870502   33.556759   1.572739   100.000000
1.2400   64.642656   33.761063   1.596281   100.000000
1.2500   64.415609   33.964424   1.619966   100.000000
1.2600   64.189360   34.166846   1.643793   100.000000
1.2700   63.963906   34.368332   1.667762   100.000000
1.2800   63.739244   34.568886   1.691871   100.000000
1.2900   63.515370   34.768510   1.716119   100.000000
1.3000   63.292283   34.967209   1.740507   100.000000
1.3100   63.069980   35.164986   1.765034   100.000000
1.3200   62.848457   35.361844   1.789699   100.000000
1.3300   62.627713   35.557786   1.814501   100.000000
1.3400   62.407744   35.752816   1.839440   100.000000
1.3500   62.188547   35.946938   1.864515   100.000000
1.3600   61.970120   36.140154   1.889725   100.000000
1.3700   61.752461   36.332469   1.915071   100.000000
1.3800   61.535565   36.523884   1.940550   100.000000
1.3900   61.319432   36.714405   1.966163   100.000000
1.4000   61.104058   36.904033   1.991909   100.000000
1.4100   60.889440   37.092772   2.017787   100.000000
1.4200   60.675577   37.280626   2.043797   100.000000
1.4300   60.462464   37.467598   2.069938   100.000000
1.4400   60.250100   37.653690   2.096210   100.000000
1.4500   60.038481   37.838907   2.122611   100.000000
1.4600   59.827606   38.023252   2.149142   100.000000
1.4700   59.617472   38.206727   2.175801   100.000000
1.4800   59.408076   38.389336   2.202589   100.000000
1.4900   59.199415   38.571082   2.229503   100.000000
1.5000   58.991487   38.751968   2.256545   100.000000
1.5100   58.784289   38.931998   2.283713   100.000000
1.5200   58.577819   39.111174   2.311006   100.000000
1.5300   58.372075   39.289501   2.338425   100.000000
1.5400   58.167053   39.466980   2.365967   100.000000
1.5500   57.962751   39.643615   2.393634   100.000000
1.5600   57.759166   39.819410   2.421424   100.000000
1.5700   57.556297   39.994366   2.449337   100.000000
1.5800   57.354140   40.168488   2.477371   100.000000
1.5900   57.152694   40.341779   2.505527   100.000000
1.6000   56.951955   40.514241   2.533805   100.000000
1.6100   56.751920   40.685878   2.562202   100.000000
1.6200   56.552589   40.856692   2.590719   100.000000
1.6300   56.353957   41.026687   2.619356   100.000000
1.6400   56.156024   41.195866   2.648111   100.000000
1.6500   55.958785   41.364231   2.676984   100.000000
1.6600   55.762239   41.531786   2.705974   100.000000
1.6700   55.566384   41.698534   2.735082   100.000000
1.6800   55.371216   41.864478   2.764305   100.000000
1.6900   55.176734   42.029621   2.793645   100.000000
1.7000   54.982935   42.193965   2.823100   100.000000
1.7100   54.789817   42.357513   2.852669   100.000000
1.7200   54.597377   42.520270   2.882353   100.000000
1.7300   54.405613   42.682237   2.912150   100.000000
1.7400   54.214523   42.843417   2.942060   100.000000
1.7500   54.024103   43.003814   2.972083   100.000000
1.7600   53.834353   43.163430   3.002217   100.000000
1.7700   53.645269   43.322268   3.032463   100.000000
1.7800   53.456849   43.480331   3.062820   100.000000
1.7900   53.269091   43.637622   3.093287   100.000000
1.8000   53.081992   43.794144   3.123864   100.000000
1.8100   52.895550   43.949900   3.154550   100.000000
1.8200   52.709764   44.104892   3.185345   100.000000
1.8300   52.524630   44.259123   3.216247   100.000000
1.8400   52.340146   44.412596   3.247258   100.000000
1.8500   52.156310   44.565315   3.278375   100.000000
1.8600   51.973120   44.717281   3.309599   100.000000
1.8700   51.790573   44.868498   3.340929   100.000000
1.8800   51.608667   45.018968   3.372365   100.000000
1.8900   51.427401   45.168694   3.403906   100.000000
